postal_code,lat_long
465524.0,"1.32974206632152,103.945670424231"
358464.0,"1.3308900874542,103.86689665078"
408832.0,"1.33288462898322,103.892303618387"
466475.0,Not Found
228313.0,"1.30914888602049,103.838010317853"
509506.0,"1.37939195187997,103.96368774531"
547766.0,"1.35485519692618,103.875760568547"
536443.0,"1.34623540384161,103.8796434622"
259702.0,"1.31501206905426,103.836168202353"
416729.0,"1.32018967220914,103.906865928269"
228170.0,"1.30254668108558,103.846337135937"
266323.0,"1.3235948739595,103.799669098708"
269186.0,"1.32414477042958,103.799825274548"
737917.0,"1.43051558092835,103.785530104269"
469336.0,"1.31577542601925,103.933704714168"
486858.0,"1.34552548201423,103.963269325422"
416378.0,"1.32840203522441,103.90860634862"
439192.0,"1.30971379542166,103.893813693492"
679656.0,"1.37318625868107,103.768247704043"
679633.0,"1.37140419385881,103.767646235825"
648315.0,"1.34265740158581,103.718174762722"
399746.0,"1.31103276112231,103.886630140814"
419845.0,"1.31853119632694,103.911298335327"
787056.0,"1.38665607016721,103.841258679782"
425770.0,"1.31404666379164,103.914670735105"
436904.0,"1.29751430565974,103.874514479809"
209848.0,"1.31099855930995,103.861155186704"
229628.0,"1.30990860733718,103.843150652659"
229622.0,"1.3047460376708,103.840877644324"
229491.0,"1.30790270242326,103.840635750149"
229618.0,"1.30360072008439,103.841116863266"
597593.0,"1.31693715460421,103.774910099476"
507029.0,"1.37834985706372,103.95659135188"
427305.0,"1.31467316091814,103.9044149803"
239427.0,"1.29293391960903,103.833590038162"
387607.0,"1.31629397762889,103.88657418395"
387935.0,"1.31481743950624,103.888376977987"
388792.0,"1.312846209179,103.875936321332"
388302.0,"1.31444000148435,103.882324003158"
388242.0,"1.31465166781856,103.883288149427"
169479.0,"1.28519576156367,103.827677219577"
389778.0,"1.31581012706306,103.88447392439"
398915.0,"1.31194266781347,103.879213970964"
398240.0,"1.31225825932858,103.888161790535"
538749.0,"1.35313774657052,103.87852553785"
408832.0,"1.33288462898322,103.892303618387"
428524.0,"1.31609273339964,103.901682588357"
398280.0,"1.31309633401655,103.886754727605"
567752.0,"1.3703043031814,103.848386313887"
668671.0,"1.35738951423417,103.762088063021"
258707.0,Not Found
429623.0,"1.30632312393315,103.902905397513"
429674.0,"1.3085172163599,103.900875479884"
429690.0,"1.30899729089026,103.899835000107"
258127.0,"1.31361585922958,103.836478733206"
309495.0,"1.31778966389451,103.837005911769"
309426.0,"1.31617741789614,103.837814972835"
309494.0,"1.31765462879831,103.836535043005"
309655.0,"1.32528808496722,103.838865746749"
309499.0,"1.31899420570811,103.836853428868"
309493.0,"1.31865334028567,103.836863665199"
469549.0,Not Found
486828.0,"1.34306264921136,103.963167030106"
507663.0,"1.36103258541068,103.970309696542"
486842.0,"1.34477114972093,103.963820610847"
528800.0,"1.34675636014805,103.959923954703"
669579.0,"1.35901020299905,103.763236516497"
424247.0,"1.30548937473146,103.907426569866"
425032.0,"1.30871047069425,103.906104544463"
429515.0,"1.30643705485425,103.907772789585"
229157.0,"1.30361026763408,103.838456864166"
598671.0,"1.34440319329816,103.768395045596"
534996.0,"1.35039408203348,103.87997938353"
248184.0,"1.2953224949112,103.827818619662"
539631.0,"1.35557651472076,103.881552486332"
535609.0,"1.35555172321218,103.880951602561"
533811.0,"1.35376599349267,103.881681196675"
539653.0,"1.35609197708461,103.882175738936"
268156.0,"1.31675234257288,103.803561132419"
278557.0,Not Found
228514.0,"1.30697658878948,103.836189082141"
259345.0,"1.31658622093571,103.829235557723"
258541.0,"1.31997545891749,103.824304362753"
257650.0,"1.3131735315403,103.827079242131"
328626.0,"1.32404093093057,103.851081000091"
437083.0,"1.30531449478909,103.895938058127"
387986.0,"1.31538221755903,103.887936481421"
